firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Teddy,Roosevelt,37,25,0,5,415,2010-03-24,Boise Bearcats,39,Modesto Misanthropes,3
Teddy,Roosevelt,26,18,0,3,271,2010-03-31,Boise Bearcats,27,Fremont Firebugs,13
Teddy,Roosevelt,34,25,0,7,462,2010-04-07,Boise Bearcats,59,Montgomery Music,37
Gerry,Ford,2,0,1,0,0,2010-04-07,Boise Bearcats,59,Montgomery Music,37
Teddy,Roosevelt,27,18,0,4,261,2010-04-14,Boise Bearcats,39,Spokane Stallions,20
Teddy,Roosevelt,20,17,0,4,270,2010-04-21,Boise Bearcats,40,Richmond Roustabouts,35
Gerry,Ford,7,2,1,0,13,2010-04-21,Boise Bearcats,40,Richmond Roustabouts,35
Teddy,Roosevelt,20,15,0,3,217,2010-04-28,Boise Bearcats,29,Yonkers Yellowjackets,23
Gerry,Ford,4,1,1,0,5,2010-04-28,Boise Bearcats,29,Yonkers Yellowjackets,23
Teddy,Roosevelt,21,13,0,2,174,2010-05-05,Boise Bearcats,31,Shreveport Seamen,6
Gerry,Ford,12,4,1,1,25,2010-05-05,Boise Bearcats,31,Shreveport Seamen,6
Teddy,Roosevelt,16,11,0,2,165,2010-05-12,Boise Bearcats,32,San Bernardino Stalkers,14
Gerry,Ford,9,3,1,1,18,2010-05-12,Boise Bearcats,32,San Bernardino Stalkers,14
Teddy,Roosevelt,25,19,0,4,340,2010-05-19,Boise Bearcats,29,Tacoma Touchdown-Scorers,34
Teddy,Roosevelt,34,24,0,5,363,2010-05-26,Boise Bearcats,47,Glendale Centers,41
Teddy,Roosevelt,22,18,0,4,261,2010-06-02,Boise Bearcats,38,Des Moines Desperadoes,21
Gerry,Ford,8,2,1,0,15,2010-06-02,Boise Bearcats,38,Des Moines Desperadoes,21
Teddy,Roosevelt,27,21,0,5,315,2010-06-09,Boise Bearcats,51,Augusta Autocrats,38
Gerry,Ford,7,2,1,1,14,2010-06-09,Boise Bearcats,51,Augusta Autocrats,38
Teddy,Roosevelt,28,19,0,3,293,2010-06-16,Boise Bearcats,33,Grand Rapids Gamers,0
Teddy,Roosevelt,25,19,0,4,297,2010-06-23,Boise Bearcats,39,Huntington Beach Harriers,20
Gerry,Ford,6,1,1,0,6,2010-06-23,Boise Bearcats,39,Huntington Beach Harriers,20
Teddy,Roosevelt,32,25,0,5,354,2010-06-30,Boise Bearcats,47,Mobile Misfits,23
Herbert,Hoover,31,22,0,4,283,2010-03-24,Modesto Misanthropes,30,Fremont Firebugs,14
Herbert,Hoover,32,17,0,2,248,2010-03-31,Modesto Misanthropes,18,Montgomery Music,21
Herbert,Hoover,25,15,0,2,174,2010-04-07,Modesto Misanthropes,20,Spokane Stallions,38
Herbert,Hoover,30,21,0,3,226,2010-04-14,Modesto Misanthropes,23,Richmond Roustabouts,13
Herbert,Hoover,30,20,0,4,279,2010-04-21,Modesto Misanthropes,41,Yonkers Yellowjackets,16
Zach,Taylor,6,3,0,1,33,2010-04-21,Modesto Misanthropes,41,Yonkers Yellowjackets,16
Herbert,Hoover,24,14,0,1,178,2010-04-28,Modesto Misanthropes,15,Shreveport Seamen,34
Zach,Taylor,8,4,0,1,46,2010-04-28,Modesto Misanthropes,15,Shreveport Seamen,34
Herbert,Hoover,27,15,0,2,215,2010-05-05,Modesto Misanthropes,26,San Bernardino Stalkers,27
Zach,Taylor,8,5,0,0,54,2010-05-05,Modesto Misanthropes,26,San Bernardino Stalkers,27
Herbert,Hoover,32,22,0,2,238,2010-05-12,Modesto Misanthropes,26,Tacoma Touchdown-Scorers,37
Herbert,Hoover,27,17,0,2,234,2010-05-19,Modesto Misanthropes,26,Glendale Centers,17
Herbert,Hoover,22,13,0,2,153,2010-05-26,Modesto Misanthropes,31,Des Moines Desperadoes,6
Zach,Taylor,10,4,0,1,51,2010-05-26,Modesto Misanthropes,31,Des Moines Desperadoes,6
Herbert,Hoover,35,24,0,3,357,2010-06-02,Modesto Misanthropes,31,Augusta Autocrats,13
Herbert,Hoover,27,18,0,2,237,2010-06-09,Modesto Misanthropes,31,Grand Rapids Gamers,16
Zach,Taylor,4,2,0,1,20,2010-06-09,Modesto Misanthropes,31,Grand Rapids Gamers,16
Herbert,Hoover,35,22,0,3,329,2010-06-16,Modesto Misanthropes,24,Huntington Beach Harriers,23
Herbert,Hoover,29,17,0,2,188,2010-06-23,Modesto Misanthropes,22,Mobile Misfits,44
Zach,Taylor,8,4,0,0,37,2010-06-23,Modesto Misanthropes,22,Mobile Misfits,44
Herbert,Hoover,38,26,0,4,373,2010-06-30,Modesto Misanthropes,34,Boise Bearcats,34
James,Monroe,24,9,0,1,65,2010-03-24,Fremont Firebugs,19,Montgomery Music,38
Cal,Coolidge,1,0,0,0,0,2010-03-24,Fremont Firebugs,19,Montgomery Music,38
James,Monroe,38,19,0,2,187,2010-03-31,Fremont Firebugs,17,Spokane Stallions,44
James,Monroe,35,17,0,2,157,2010-04-07,Fremont Firebugs,24,Richmond Roustabouts,24
