firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Tom,Wilson,35,22,0,4,285,2010-03-24,Boise Bearcats,37,Modesto Misanthropes,35
Tom,Wilson,33,21,0,4,299,2010-03-31,Boise Bearcats,34,Fremont Firebugs,35
Tom,Wilson,32,22,0,4,259,2010-04-07,Boise Bearcats,33,Montgomery Music,31
Andy,Jackson,4,1,1,0,5,2010-04-07,Boise Bearcats,33,Montgomery Music,31
Tom,Wilson,31,20,0,3,280,2010-04-14,Boise Bearcats,34,Spokane Stallions,31
Andy,Jackson,4,1,1,1,4,2010-04-14,Boise Bearcats,34,Spokane Stallions,31
Tom,Wilson,39,25,0,4,298,2010-04-21,Boise Bearcats,30,Richmond Roustabouts,34
Tom,Wilson,31,22,0,3,333,2010-04-28,Boise Bearcats,31,Yonkers Yellowjackets,24
Tom,Wilson,27,19,0,2,230,2010-05-05,Boise Bearcats,24,Shreveport Seamen,6
Andy,Jackson,9,3,1,0,15,2010-05-05,Boise Bearcats,24,Shreveport Seamen,6
Tom,Wilson,36,27,0,5,363,2010-05-12,Boise Bearcats,38,San Bernardino Stalkers,30
Tom,Wilson,24,17,0,3,242,2010-05-19,Boise Bearcats,33,Tacoma Touchdown-Scorers,21
Andy,Jackson,11,2,1,1,9,2010-05-19,Boise Bearcats,33,Tacoma Touchdown-Scorers,21
Tom,Wilson,38,26,0,5,350,2010-05-26,Boise Bearcats,41,Glendale Centers,13
Tom,Wilson,30,21,0,3,258,2010-06-02,Boise Bearcats,29,Des Moines Desperadoes,30
Tom,Wilson,39,24,0,4,316,2010-06-09,Boise Bearcats,34,Augusta Autocrats,30
Tom,Wilson,31,23,0,5,364,2010-06-16,Boise Bearcats,42,Grand Rapids Gamers,23
Tom,Wilson,30,22,0,3,281,2010-06-23,Boise Bearcats,36,Huntington Beach Harriers,35
Andy,Jackson,3,1,1,1,5,2010-06-23,Boise Bearcats,36,Huntington Beach Harriers,35
Tom,Wilson,17,12,0,2,151,2010-06-30,Boise Bearcats,29,Mobile Misfits,16
Andy,Jackson,7,2,1,1,10,2010-06-30,Boise Bearcats,29,Mobile Misfits,16
George,Washington,21,11,1,0,83,2010-03-24,Modesto Misanthropes,10,Fremont Firebugs,24
Gerry,Ford,3,2,0,1,27,2010-03-24,Modesto Misanthropes,10,Fremont Firebugs,24
George,Washington,20,6,1,0,40,2010-03-31,Modesto Misanthropes,25,Montgomery Music,17
Gerry,Ford,12,9,0,2,125,2010-03-31,Modesto Misanthropes,25,Montgomery Music,17
George,Washington,35,13,1,0,109,2010-04-07,Modesto Misanthropes,7,Spokane Stallions,41
George,Washington,33,13,1,1,95,2010-04-14,Modesto Misanthropes,18,Richmond Roustabouts,44
George,Washington,32,12,1,1,92,2010-04-21,Modesto Misanthropes,13,Yonkers Yellowjackets,20
George,Washington,30,15,1,0,137,2010-04-28,Modesto Misanthropes,6,Shreveport Seamen,0
George,Washington,31,13,1,0,116,2010-05-05,Modesto Misanthropes,11,San Bernardino Stalkers,16
George,Washington,23,10,1,0,91,2010-05-12,Modesto Misanthropes,10,Tacoma Touchdown-Scorers,24
Gerry,Ford,3,1,0,1,15,2010-05-12,Modesto Misanthropes,10,Tacoma Touchdown-Scorers,24
George,Washington,27,9,1,1,77,2010-05-19,Modesto Misanthropes,8,Glendale Centers,21
Gerry,Ford,3,2,0,0,32,2010-05-19,Modesto Misanthropes,8,Glendale Centers,21
George,Washington,32,10,1,0,74,2010-05-26,Modesto Misanthropes,5,Des Moines Desperadoes,28
George,Washington,24,10,1,0,89,2010-06-02,Modesto Misanthropes,7,Augusta Autocrats,20
Gerry,Ford,2,1,0,0,13,2010-06-02,Modesto Misanthropes,7,Augusta Autocrats,20
George,Washington,33,16,1,1,124,2010-06-09,Modesto Misanthropes,7,Grand Rapids Gamers,0
George,Washington,38,15,1,0,104,2010-06-16,Modesto Misanthropes,6,Huntington Beach Harriers,17
George,Washington,30,10,1,1,90,2010-06-23,Modesto Misanthropes,19,Mobile Misfits,14
George,Washington,17,6,1,1,52,2010-06-30,Modesto Misanthropes,22,Boise Bearcats,14
Gerry,Ford,8,5,0,1,70,2010-06-30,Modesto Misanthropes,22,Boise Bearcats,14
Barry,Obama,26,18,0,3,280,2010-03-24,Fremont Firebugs,21,Montgomery Music,44
John,Adams,1,0,1,0,0,2010-03-24,Fremont Firebugs,21,Montgomery Music,44
Barry,Obama,28,24,0,5,361,2010-03-31,Fremont Firebugs,42,Spokane Stallions,41
Barry,Obama,31,22,0,6,410,2010-04-07,Fremont Firebugs,50,Richmond Roustabouts,14
Barry,Obama,30,25,0,6,386,2010-04-14,Fremont Firebugs,43,Yonkers Yellowjackets,0
Barry,Obama,25,21,0,5,327,2010-04-21,Fremont Firebugs,39,Shreveport Seamen,17
Barry,Obama,26,21,0,5,308,2010-04-28,Fremont Firebugs,49,San Bernardino Stalkers,6
John,Adams,11,2,1,1,11,2010-04-28,Fremont Firebugs,49,San Bernardino Stalkers,6
Barry,Obama,21,15,0,3,233,2010-05-05,Fremont Firebugs,27,Tacoma Touchdown-Scorers,14
John,Adams,8,2,1,0,11,2010-05-05,Fremont Firebugs,27,Tacoma Touchdown-Scorers,14
Barry,Obama,35,26,0,5,418,2010-05-12,Fremont Firebugs,46,Glendale Centers,14
Barry,Obama,39,27,0,5,385,2010-05-19,Fremont Firebugs,37,Des Moines Desperadoes,38
Barry,Obama,27,19,0,4,327,2010-05-26,Fremont Firebugs,33,Augusta Autocrats,6
Barry,Obama,27,20,0,4,346,2010-06-02,Fremont Firebugs,38,Grand Rapids Gamers,20
John,Adams,7,2,1,0,11,2010-06-02,Fremont Firebugs,38,Grand Rapids Gamers,20
Barry,Obama,35,30,0,7,492,2010-06-09,Fremont Firebugs,60,Huntington Beach Harriers,17
Barry,Obama,31,21,0,5,409,2010-06-16,Fremont Firebugs,38,Mobile Misfits,7
Barry,Obama,32,23,0,5,404,2010-06-23,Fremont Firebugs,40,Boise Bearcats,44
Barry,Obama,18,14,0,3,216,2010-06-30,Fremont Firebugs,29,Modesto Misanthropes,10
John,Adams,10,2,1,0,10,2010-06-30,Fremont Firebugs,29,Modesto Misanthropes,10
Dick,Nixon,36,14,0,1,133,2010-03-24,Montgomery Music,11,Spokane Stallions,20
Dick,Nixon,36,15,0,2,158,2010-03-31,Montgomery Music,20,Richmond Roustabouts,10
Dick,Nixon,34,19,0,1,191,2010-04-07,Montgomery Music,9,Yonkers Yellowjackets,20
Dick,Nixon,30,13,0,2,133,2010-04-14,Montgomery Music,19,Shreveport Seamen,30
Dick,Nixon,28,14,0,1,136,2010-04-21,Montgomery Music,11,San Bernardino Stalkers,35
Dick,Nixon,23,13,0,1,150,2010-04-28,Montgomery Music,12,Tacoma Touchdown-Scorers,37
Rutherford,Hayes,4,3,0,0,51,2010-04-28,Montgomery Music,12,Tacoma Touchdown-Scorers,37
Dick,Nixon,34,14,0,1,154,2010-05-05,Montgomery Music,11,Glendale Centers,7
Dick,Nixon,26,11,0,1,98,2010-05-12,Montgomery Music,14,Des Moines Desperadoes,16
Dick,Nixon,27,13,0,2,136,2010-05-19,Montgomery Music,16,Augusta Autocrats,38
Dick,Nixon,22,10,0,0,101,2010-05-26,Montgomery Music,7,Grand Rapids Gamers,34
